Reference,Description,Voices,Notes per voice,Tempo (MM),Tempo (Hz),Time,Frequency sequence (hz),Note dur (s),Gain,Repeat,Notes,,,Ratio to crotchet,Draft,Rounded
3.183,-12.4,12,1,159,2.65,4.53,"7529.11, 4649.26, 5939.73, 5378.86, 4097.64, 8960.4, 6134.33, 8974.44, 8961.65, 7041.93, 8729.83, 8710.04",0.29,0.3,0,,,,0.775,0.2924528302,29
3.184,-12.5,12,1,56,0.93,12.86,"7529.11, 4649.26, 5939.73, 5378.86, 4097.64, 8960.4, 6134.33, 8974.44, 8961.65, 7041.93, 8729.83, 8710.04",0.75,0.2,4,trigger to next,,,0.7,0.75,75
3.19,-16.1,16,1,465,7.75,2.06,"4495.49, 7989.86, 5234.2, 6413.3, 4807.05, 5132.88, 4483.72, 5793.74, 6095.88, 6202.2, 4868.45, 6251.89, 5267.13, 4853.92, 8038.24, 5223.28",0.13,0.55,0,,,,1,0.1290322581,13
3.191,-16.2,16,1,372,6.20,2.58,"4495.49, 7989.86, 5234.2, 6413.3, 4807.05, 5132.88, 4483.72, 5793.74, 6095.88, 6202.2, 4868.45, 6251.89, 5267.13, 4853.92, 8038.24, 5223.28",0.15,0.45,0,,,,0.9125,0.1471774194,15
3.192,-16.3,16,1,260,4.33,3.69,"4495.49, 7989.86, 5234.2, 6413.3, 4807.05, 5132.88, 4483.72, 5793.74, 6095.88, 6202.2, 4868.45, 6251.89, 5267.13, 4853.92, 8038.24, 5223.28",0.19,0.35,0,,,,0.825,0.1903846154,19
3.193,-16.4,16,1,143,2.38,6.71,"4495.49, 7989.86, 5234.2, 6413.3, 4807.05, 5132.88, 4483.72, 5793.74, 6095.88, 6202.2, 4868.45, 6251.89, 5267.13, 4853.92, 8038.24, 5223.28",0.31,0.25,0,,,,0.7375,0.3094405594,31
3.194,-16.5,16,1,50,0.83,19.20,"4495.49, 7989.86, 5234.2, 6413.3, 4807.05, 5132.88, 4483.72, 5793.74, 6095.88, 6202.2, 4868.45, 6251.89, 5267.13, 4853.92, 8038.24, 5223.28",0.78,0.15,4,trigger to next,,,0.65,0.78,78
3.2,-24.1,24,1,418,6.97,3.44,"4728.28, 6339.83, 5434.28, 6130.96, 6654.63, 5536.65, 5350.3, 4315.64, 5897.35, 6645.16, 5374.82, 5546.84, 6009.18, 5269.97, 4817.28, 4858.87, 8816.77, 6731.2, 7694.15, 6364.84, 6537.88, 7153.64, 7536.58, 4819.63",0.14,0.5,0,,,,1,0.1435406699,14
3.201,-24.2,24,1,335,5.58,4.30,"4728.28, 6339.83, 5434.28, 6130.96, 6654.63, 5536.65, 5350.3, 4315.64, 5897.35, 6645.16, 5374.82, 5546.84, 6009.18, 5269.97, 4817.28, 4858.87, 8816.77, 6731.2, 7694.15, 6364.84, 6537.88, 7153.64, 7536.58, 4819.63",0.16,0.4,0,,,,0.9,0.1611940299,16
3.202,-24.3,24,1,234,3.90,6.15,"4728.28, 6339.83, 5434.28, 6130.96, 6654.63, 5536.65, 5350.3, 4315.64, 5897.35, 6645.16, 5374.82, 5546.84, 6009.18, 5269.97, 4817.28, 4858.87, 8816.77, 6731.2, 7694.15, 6364.84, 6537.88, 7153.64, 7536.58, 4819.63",0.21,0.3,0,,,,0.8,0.2051282051,21
3.203,-24.4,24,1,129,2.15,11.16,"4728.28, 6339.83, 5434.28, 6130.96, 6654.63, 5536.65, 5350.3, 4315.64, 5897.35, 6645.16, 5374.82, 5546.84, 6009.18, 5269.97, 4817.28, 4858.87, 8816.77, 6731.2, 7694.15, 6364.84, 6537.88, 7153.64, 7536.58, 4819.63",0.33,0.2,0,,,,0.7,0.3255813953,33
